,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle
f3891cdd-404c-4000-8d02-ff53f2ed02e8.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,7,0,0,0,2,0,1,0,0,1,6,0,3,8,0,3,0,0,0,1,4,0,0,1,0,0,0,0,0,1
905e335b-b53d-486c-a46e-79d9c1b6672c.jpeg,0,0,1,0,0,0,1,0,2,1,0,0,1,1,0,1,0,1,0,3,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14,0,10,9,0,3,0,2,0,0,2,0,0,0,0,0,1,0,0,2
2ae2cc81-62b8-43ac-a927-c5b0214da988.jpeg,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,2,8,0,1,0,0,6,0,0,0,0,0,0,0,0,2
5e6d4d0a-27d6-430a-97d3-1a9b62455fc8.jpeg,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,5,0,1,2,1,0,0,0,4,0,0,0,0,0,0,0,0,1
f4dd4276-297f-492e-9c19-d0099bc1c543.jpeg,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,9,0,5,15,1,0,1,0,0,0,6,0,0,1,0,0,0,0,0,1
945aa7e4-ef05-458e-a38c-2434fb1af958.jpeg,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,4,0,0,0,1,0,0,0,0,3,5,0,5,6,0,8,0,0,0,0,3,0,0,1,0,0,0,0,0,1
90f524b5-9cef-4835-9d10-d4ba9b9595df.jpeg,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,4,1,0,6,0,2,2,0,0,0,0,16,0,0,0,0,0,1,0,0,1
6e3cd987-109c-4538-bf1e-b63671de8557.jpeg,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,5,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,7,8,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1
3e18ec57-00ad-467f-99dd-403deee5eee7.jpeg,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,9,0,4,5,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,1
aa7f2a70-6fc9-4fde-96eb-5035c84e03e3.jpeg,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1
4d8bd4c0-b7fa-4c2b-b15b-59cd989b7259.jpeg,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,6,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1
c3b78251-b664-40e1-a8b3-5c79573d5db1.jpeg,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,5,0,7,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1
